id du document;Nom du matériel;Description;Etat de la fiche;lien vers la photo;Statut de la fiche;Nom du matériel de backup;Pays impacté;Composant matériel;Marque;Modèle;Type de matériel;Numéro de série;Technologie;Pays d'hébergement;Ville;Site;Nom du site;Localisation;Emplacement;Contact sur le site;Affecté à;Composant hébergé;Criticité;RD;RA;Société propriétaire;Pays propriétaire;Date d'entrée;Date de mise à jour;Date de fin;Type de contrat d'assistance;Nom prestataire;Numéro de contrat;Date de début du contrat;Date de fin du contrat;Réseau : ip;Sous-réseau;passerelle;Adresse Mac;Supervision;Accessibilité;Fournisseur;Numéro de commande;Coût de l'achat;Numéro de la facture;Valeur;Bon de livraison;Date de la commande;Date de livraison;Type escalade N2;Escalade N2;Escalade N3;Attribut 1;Attribut 2;Attribut 3;Attribut 4;Attribut 5;Attribut 6;Attribut 7;Attribut 8;Attribut 9;Attribut 10;Attribut 11;Attribut 12;Attribut 13;Attribut 14;Attribut 15;Attribut 16;Attribut 17;Attribut 18;Attribut 19;Attribut 20;Attribut 21;Attribut 22;Attribut 23;Attribut 24;Attribut 25;Attribut 26;Attribut 27;Attribut 28;Attribut 29;Attribut 30
;cmatXXXfm22;Mat Caisse Libre Service N° 22 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm23;Mat Caisse Libre Service N° 23 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm24;Mat Caisse Libre Service N° 24 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;balanceclsXXXfm21;Balance Caisse Libre Service N° 21 - MATCH - XXX - xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Flintab  AB;1212x120-03;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;balanceclsXXXfm22;Balance Caisse Libre Service N° 22 - MATCH - XXX - xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Flintab  AB;1212x120-03;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;balanceclsXXXfm23;Balance Caisse Libre Service N° 23 - MATCH - XXX - xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Flintab  AB;1212x120-03;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;balanceclsXXXfm24;Balance Caisse Libre Service N° 24 - MATCH - XXX - xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Flintab  AB;1212x120-03;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ecrancaisXXXfm21;Ecran Caisse LS n°21 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Elo touch;ET 2002L;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ecrancaisXXXfm22;Ecran Caisse LS n°22 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Elo touch;ET 2002L;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ecrancaisXXXfm23;Ecran Caisse LS n°23 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Elo touch;ET 2002L;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ecrancaisXXXfm24;Ecran Caisse LS n°24 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Elo touch;ET 2002L;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impstickerXXXfm01;Imprimante Sticker - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Imprimante Sticker;Zebra;ZQ610;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;BEARCOD;;;;;;;;;;;;;;;;;;Externe;BEARCOD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impstickerXXXfm02;Imprimante Sticker - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Imprimante Sticker;Zebra;ZQ610;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;BEARCOD;;;;;;;;;;;;;;;;;;Externe;BEARCOD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
